Ürün Adı,Fiyat,Resim URL,Kategori
muz (ürün bulunamadı),-,-,meyve-sebze
limon (ürün bulunamadı),-,-,meyve-sebze
maydanoz (ürün bulunamadı),-,-,meyve-sebze
domates (ürün bulunamadı),-,-,meyve-sebze
salatalık (ürün bulunamadı),-,-,meyve-sebze
biber (ürün bulunamadı),-,-,meyve-sebze
avokado (ürün bulunamadı),-,-,meyve-sebze
havuç (ürün bulunamadı),-,-,meyve-sebze
soğan (ürün bulunamadı),-,-,meyve-sebze
çilek (ürün bulunamadı),-,-,meyve-sebze
elma (ürün bulunamadı),-,-,meyve-sebze
mantar (ürün bulunamadı),-,-,meyve-sebze
karpuz (ürün bulunamadı),-,-,meyve-sebze
portakal (ürün bulunamadı),-,-,meyve-sebze
ananas (ürün bulunamadı),-,-,meyve-sebze
lahana (ürün bulunamadı),-,-,meyve-sebze
patates (ürün bulunamadı),-,-,meyve-sebze
fasulye (ürün bulunamadı),-,-,meyve-sebze
patlıcan (ürün bulunamadı),-,-,meyve-sebze
marul (ürün bulunamadı),-,-,meyve-sebze
